student_id,GPA,percentile,specialization
9372595,7.09,97,MOP
9932759,9.68,36,ADIS
9735325,9.89,70,PR
9836397,4.99,88,ADIS
9130514,7.97,13,ADIS
9353635,3.99,82,ADIS
9123870,2.04,78,PR
9194488,4.72,87,MOP
9440700,2.78,35,MOP
9905567,4.36,100,RS
9116006,6.25,12,ADIS
9976696,9.09,70,MOP
9455422,5.3,92,ADIS
9886236,6.01,36,PR
9272076,5.96,34,RS
9371006,6.37,24,MOP
9075715,2.15,82,RS
9002473,7.05,85,RS
9381253,8.78,73,PR
9675264,8.96,16,ADIS
9173051,6.04,99,MOP
9942933,3.79,1,ADIS
9061669,4.24,34,RS
9191957,4.23,34,ADIS
9083307,5.53,53,MOP
9437598,3.8,56,RS
9685674,9.11,1,ADIS
9001755,5.66,72,PR
9334277,8.09,31,RS
9354535,2.69,16,RS
9012748,3.29,65,ADIS
9449844,4.77,88,ADIS
9074972,1.53,57,PR
9890204,4.95,28,PR
9045091,7.75,26,PR
9714407,9.38,80,MOP
9462957,2.92,83,PR
9746764,9.71,69,RS
9284997,4.39,6,MOP
9544378,9.0,6,RS
9003257,8.95,70,RS
9914602,7.62,21,PR
9933314,7.69,17,MOP
9614172,8.51,31,ADIS
9498681,6.32,99,RS
9466766,3.87,2,MOP
9380318,3.42,29,RS
9445237,3.73,61,RS
9423371,2.68,9,PR
9173742,6.47,75,RS
9447635,2.18,20,ADIS
9245853,3.73,67,RS
9643676,4.4,83,PR
9248326,3.73,72,PR
9454070,3.59,79,PR
9572855,2.7,81,RS
9898265,4.84,22,RS
9606021,4.65,75,RS
9305297,4.94,47,MOP
9784155,8.34,0,ADIS
9356523,2.35,24,RS
9726916,4.49,86,ADIS
9862818,3.89,47,RS
9620962,3.91,100,ADIS
9167156,5.92,76,RS
9086974,3.97,33,MOP
9683369,2.59,22,MOP
9144278,8.79,82,RS
9204381,2.92,13,PR
9985428,7.51,65,PR
9879690,5.03,49,RS
9785303,3.16,30,ADIS
9386616,9.36,71,MOP
9248328,2.97,59,PR
9030004,7.65,34,PR
9252542,9.67,77,RS
9807528,9.05,8,MOP
9004726,4.07,24,RS
9825123,3.44,21,MOP
9022434,6.52,37,RS
9919098,4.31,55,MOP
9835185,1.53,8,PR
9711447,2.31,56,ADIS
9761447,5.24,12,ADIS
9327991,8.7,40,MOP
9438187,6.92,29,RS
9238401,6.3,89,MOP
9070727,9.78,51,ADIS
9616414,2.0,21,MOP
9455244,9.8,9,PR
9285163,9.12,11,MOP
9623730,7.43,66,ADIS
9431424,4.09,2,RS
9544963,8.14,95,MOP
9086318,8.49,68,ADIS
9983982,3.13,11,RS
9224552,6.38,60,ADIS
9928282,4.63,15,MOP
9020930,3.18,92,MOP
9828207,6.41,45,ADIS
9569656,2.44,90,MOP
9316666,5.09,61,MOP
9682259,9.48,95,PR
9187753,8.01,44,PR
9794985,1.69,3,PR
9335394,9.23,92,ADIS
9070695,5.35,15,PR
9199399,9.49,21,MOP
9139543,8.45,57,RS
9504122,3.95,2,MOP
9206562,4.62,77,RS
9696286,2.88,37,ADIS
9983419,4.32,23,MOP
9540664,1.52,56,RS
9314088,2.86,68,RS
9102682,2.26,85,ADIS
9350228,3.41,25,ADIS
9321935,2.72,4,RS
9578388,2.82,27,PR
9918050,2.85,83,PR
9944054,9.77,51,ADIS
9724480,4.93,9,ADIS
9258228,4.57,1,MOP
9739167,1.83,12,PR
9374297,9.18,73,ADIS
9647299,4.24,91,MOP
9937554,5.52,24,PR
9648837,6.56,41,ADIS
9713190,7.73,39,MOP
9276706,1.77,62,MOP
9404312,6.91,5,ADIS
9268078,9.54,72,MOP
9103550,7.96,92,RS
9094933,9.18,34,RS
9716304,3.4,93,ADIS
9332004,9.55,58,PR
9213265,6.6,30,MOP
9658587,2.22,8,PR
9259221,5.6,59,ADIS
9026419,8.41,47,PR
9677502,3.55,83,PR
9269384,6.52,58,RS
9572791,5.03,1,RS
9614169,3.27,31,RS
9378046,5.64,12,PR
9185546,2.77,50,PR
9218430,7.05,11,RS
9141423,7.51,41,PR
9170312,6.39,20,PR
9232260,3.9,60,MOP
9778833,6.13,34,RS
9051546,2.08,48,MOP
9787559,4.1,75,ADIS
9038837,4.58,74,PR
9477280,9.76,91,MOP
9534578,5.45,74,MOP
9189849,1.94,4,MOP
9149099,4.71,95,MOP
9502651,5.89,86,PR
9033651,7.23,83,ADIS
9287282,2.74,19,PR
9804179,2.58,74,PR
9483967,6.45,6,MOP
9335204,4.88,54,MOP
9345753,4.58,35,RS
9443669,8.89,36,ADIS
9984848,6.68,85,RS
9285811,7.67,20,ADIS
9374418,6.35,49,ADIS
9991525,5.74,7,RS
9878842,2.06,53,RS
9295631,4.64,21,PR
9273284,8.21,16,PR
9980364,5.79,74,ADIS
9963740,2.91,86,RS
9227608,6.44,84,RS
9256933,3.41,88,PR
9760143,8.85,73,MOP
9638295,8.22,85,MOP
9597159,4.13,8,ADIS
9273667,4.18,80,ADIS
9762206,2.98,61,PR
9744986,2.77,16,MOP
9805418,7.35,37,PR
9645885,5.35,60,RS
9562932,7.72,59,MOP
9083140,4.71,53,RS
9186494,8.2,21,PR
9896623,8.07,16,MOP
9158930,3.75,6,RS
9742684,3.44,58,PR
9392866,3.07,15,MOP
9967086,7.02,11,PR
9322456,8.74,73,RS
9985512,8.73,66,RS
9334765,5.68,86,PR
9933057,3.78,78,ADIS
9038209,2.51,58,MOP
9683772,2.18,95,PR
9688850,8.49,45,RS
9722422,3.4,56,RS
9565702,6.7,98,RS
9755624,4.93,31,PR
9321131,8.71,42,MOP
9805688,9.02,48,ADIS
9357140,4.05,91,MOP
9056409,6.61,87,ADIS
9128966,8.78,60,MOP
9691073,4.91,79,PR
9327076,4.46,75,ADIS
9652915,2.19,82,RS
9892822,2.15,22,MOP
9318687,3.07,11,RS
9300803,2.45,88,MOP
9415547,8.65,97,RS
9019715,5.4,52,PR
9631009,3.73,81,MOP
9489362,7.72,97,RS
9386354,5.01,31,RS
9218006,8.4,53,PR
9595824,2.24,59,RS
9035133,8.11,80,MOP
9771667,2.32,59,RS
9620021,2.6,15,RS
9880055,5.73,72,RS
9791183,2.86,67,RS
9100198,6.09,24,ADIS
9981785,4.13,59,ADIS
9925375,3.21,85,MOP
9820072,2.58,70,PR
9745594,8.03,81,MOP
9999354,6.06,38,PR
9754231,3.52,19,RS
9112242,4.37,30,MOP
9097943,1.87,46,ADIS
9512436,6.77,30,RS
9730294,5.32,100,RS
9706339,5.29,1,ADIS
9733180,5.68,15,RS
9665001,1.6,23,MOP
9460029,3.85,31,RS
9661265,9.59,55,ADIS
9015938,9.8,37,MOP
9983960,3.34,24,PR
9455902,8.39,18,RS
9658959,7.9,1,ADIS
9696460,3.53,48,ADIS
9276105,7.26,76,PR
9773674,3.77,11,RS
9490565,7.02,86,ADIS
9208869,7.21,2,RS
9121439,7.31,74,RS
9333532,6.57,95,PR
9288823,5.01,80,ADIS
9426623,9.9,17,PR
9715801,5.05,21,MOP
9985227,9.85,78,ADIS
9771236,2.36,55,PR
9588087,5.62,78,MOP
9445088,8.28,94,ADIS
9653308,8.83,48,RS
9047018,3.75,36,PR
9507191,6.01,42,MOP
9016928,1.71,95,MOP
9233311,3.38,25,MOP
9637384,4.82,99,ADIS
9557173,7.1,31,ADIS
9090277,6.76,3,PR
9892640,3.81,5,MOP
9784833,7.76,14,MOP
9167070,5.62,27,PR
9834892,1.7,82,ADIS
9329671,7.74,16,ADIS
9156416,3.7,56,RS
9484796,7.38,78,PR
9857785,5.19,22,RS
9613484,4.68,76,RS
9869977,6.37,4,MOP
9192447,2.32,35,RS
9426324,4.07,30,PR
9385125,2.02,82,MOP
9765498,8.38,27,RS
9566737,9.64,42,PR
9273443,1.63,73,RS
9893809,8.88,54,PR
9865047,5.47,98,MOP
9945760,3.4,0,ADIS
9161454,6.21,79,MOP
9863817,3.34,41,MOP
9941083,7.09,80,ADIS
9841196,2.1,14,ADIS
9089180,8.73,31,ADIS
9234617,5.41,17,ADIS
9885307,2.28,18,ADIS
9383797,8.44,4,PR
9138335,5.89,17,ADIS
9470213,4.4,12,RS
9834045,5.18,0,MOP
9050402,5.06,35,RS
9952151,6.2,14,MOP
9362820,8.24,42,RS
9807596,4.19,95,PR
9916697,3.36,85,PR
9015232,2.69,86,PR
9628851,3.84,84,ADIS
9905781,7.84,23,MOP
9337115,5.32,22,PR
9332307,8.71,83,ADIS
9893372,1.71,17,PR
9712372,9.38,8,RS
9679537,2.86,27,ADIS
9173487,2.32,42,RS
9161422,2.54,44,ADIS
9730372,5.83,41,PR
9431274,5.15,82,PR
9459743,7.77,24,ADIS
9619427,7.09,75,PR
9866289,3.21,72,ADIS
9593849,4.7,69,PR
9634589,1.59,10,ADIS
9908005,7.22,7,PR
9443359,5.13,46,PR
9010718,4.65,7,ADIS
9793742,8.76,73,RS
9606412,5.68,90,ADIS
9268934,4.89,65,MOP
9781603,3.6,19,PR
9208432,8.66,92,ADIS
9567300,8.61,16,RS
9943845,4.24,3,ADIS
9097383,7.16,32,ADIS
9858135,8.2,48,RS
9698079,1.63,0,RS
9256962,7.9,40,MOP
9129707,7.07,3,RS
9307859,7.2,53,PR
9016536,5.69,18,RS
9099943,1.95,76,MOP
9766746,7.96,22,MOP
9047440,8.02,20,RS
9476228,2.85,99,ADIS
9093322,9.6,1,PR
9720251,1.89,12,PR
9705015,4.93,40,RS
9884701,7.88,12,MOP
9847337,4.94,86,PR
9761818,6.39,57,MOP
9975828,7.72,95,ADIS
9852412,6.95,100,MOP
9208596,2.15,67,RS
9802952,5.49,73,PR
9758877,5.95,49,MOP
9233711,7.18,56,MOP
9728896,8.86,87,RS
9574074,2.39,69,PR
9035744,3.96,57,ADIS
9272654,7.47,47,MOP
9719607,3.96,29,PR
9240491,5.98,68,ADIS
9428398,3.32,64,PR
9109112,6.09,11,ADIS
9770448,9.7,8,MOP
9837834,1.73,32,MOP
9317379,9.79,93,PR
9381274,3.24,56,MOP
9086490,8.84,7,PR
9465480,9.14,92,MOP
9320976,3.54,37,RS
9814609,8.3,16,RS
9538068,9.89,53,MOP
9046570,5.07,57,MOP
9929438,8.97,53,PR
9801931,2.55,59,RS
9737059,3.8,37,MOP
9984555,3.08,19,RS
9674195,1.96,11,PR
9048128,6.12,44,PR
9095250,4.52,83,RS
9389554,9.1,60,MOP
9680657,3.97,22,RS
9941119,1.77,91,MOP
9596998,3.29,41,ADIS
9636926,1.87,54,ADIS
9721406,4.33,35,RS
9317819,9.46,21,ADIS
9550742,6.19,74,RS
9680029,9.17,22,RS
9035732,7.96,92,ADIS
9584043,9.51,58,RS
9187790,4.7,65,RS
9713448,1.88,7,RS
9475531,6.16,67,MOP
9500344,3.57,18,MOP
9432343,9.82,73,MOP
9900614,5.55,64,PR
9859809,4.51,83,RS
9371244,1.92,43,RS
9376425,5.72,72,RS
9945873,5.82,88,MOP
9888773,3.26,87,MOP
9501435,3.19,15,MOP
9820092,5.48,76,RS
9793985,5.54,85,RS
9639418,6.26,4,PR
9865322,4.11,29,RS
9008784,3.4,31,ADIS
9214766,7.14,8,RS
9457000,6.85,11,PR
9085198,5.23,12,ADIS
9009495,7.94,36,MOP
9017399,7.58,27,RS
9476973,8.7,20,RS
9256946,4.58,18,MOP
9761866,9.06,55,ADIS
9182484,9.6,64,MOP
9365663,7.02,32,ADIS
9870572,5.9,1,RS
9536313,7.86,15,MOP
9384530,3.61,90,MOP
9149450,6.83,80,PR
9688470,3.74,85,RS
9119312,9.5,30,PR
9827535,2.85,42,PR
9314449,4.61,6,RS
9888648,4.72,64,PR
9513058,5.57,5,ADIS
9075815,3.77,13,MOP
9994320,7.73,24,RS
9336299,2.17,83,MOP
9456629,3.49,92,MOP
9015081,3.27,76,PR
9829136,8.87,10,MOP
9442364,8.41,54,ADIS
9876958,2.6,50,RS
9788156,6.79,87,PR
9679714,7.14,65,PR
9499845,8.85,39,MOP
9208608,9.55,79,RS
9610895,9.6,31,MOP
9578588,2.67,23,ADIS
9059442,2.16,58,RS
9900812,2.16,76,PR
9153372,3.76,31,PR
9041582,4.19,65,ADIS
9415148,3.3,35,ADIS
9285880,8.01,9,PR
9445094,3.97,12,PR
9627902,1.61,53,PR
9516248,1.94,70,PR
9697386,5.14,8,RS
9754077,2.4,78,ADIS
9637688,7.62,22,RS
9538457,3.49,86,ADIS
9607425,2.68,82,ADIS
9316876,3.4,28,PR
9752364,2.26,58,RS
9657672,3.63,82,ADIS
9008664,6.23,81,RS
9910775,2.81,10,RS
9510195,6.19,21,PR
9484499,3.52,86,MOP
9327940,6.94,83,PR
9733828,1.74,11,ADIS
9133941,3.44,20,MOP
9494126,3.65,90,RS
9110984,1.52,47,ADIS
9719972,9.62,55,RS
9399925,9.01,69,PR
9408780,2.21,37,RS
9716316,2.9,12,ADIS
9804720,8.93,7,PR
9780571,4.64,21,RS
9973256,7.12,46,MOP
9851356,9.81,89,PR
9460595,8.19,69,RS
9417681,7.88,22,ADIS
9522168,6.16,19,PR
9466276,9.03,22,RS
9375595,9.25,64,ADIS
9719095,9.58,23,MOP
9062237,3.58,13,PR
9492281,7.66,49,PR
9317818,2.24,94,PR
9347308,3.84,9,RS
9573314,2.54,11,PR
9808777,1.64,28,RS
9367671,8.91,42,RS
9697727,6.56,21,PR
9030164,6.31,49,RS
9441789,5.88,70,PR
9682680,4.67,46,PR
9824623,8.88,34,MOP
9805091,8.77,63,MOP
9792921,4.69,5,ADIS
9377438,3.73,8,RS
9250572,4.16,25,MOP
9047165,8.64,30,MOP
9063232,6.43,47,ADIS
9221811,2.37,29,RS
9868969,1.63,0,PR
9213375,5.72,59,MOP
9122673,9.47,22,MOP
9642196,6.94,17,ADIS
9375887,8.66,98,PR
9507940,2.04,57,RS
9554497,2.92,24,RS
9864884,9.42,29,PR
9664998,7.91,37,RS
9555167,3.09,3,MOP
9067954,7.86,96,RS
9852369,5.26,16,MOP
9255358,2.11,97,RS
9622761,6.74,99,RS
9057962,4.02,10,PR
9981469,9.79,36,RS
9427244,8.64,7,RS
9550108,4.95,63,PR
9193224,3.74,19,PR
9214675,4.69,75,PR
9641855,9.36,69,PR
9405381,2.72,1,ADIS
9595916,2.82,77,PR
9742077,2.42,99,RS
9437166,4.01,42,RS
9402466,3.77,64,RS
9952191,6.89,43,ADIS
9303936,3.59,33,MOP
9986355,2.49,2,ADIS
9467772,7.48,47,RS
9072162,1.52,89,RS
9692710,2.44,82,MOP
9847677,1.67,26,ADIS
9586282,3.88,13,ADIS
9924912,4.16,18,RS
9572064,4.18,66,RS
9767676,8.11,62,MOP
9366730,3.52,13,PR
9425287,2.45,46,MOP
9913357,5.24,86,MOP
9344170,4.62,30,ADIS
9896719,9.3,47,RS
9464624,2.24,26,MOP
9864573,9.35,20,PR
9219700,3.72,65,MOP
9566093,9.43,41,MOP
9466226,4.04,8,ADIS
9510956,2.61,18,PR
9101790,8.03,61,MOP
9905839,2.78,27,MOP
9044293,2.12,52,RS
9066804,3.17,59,ADIS
9086731,2.68,45,ADIS
9629882,2.37,39,RS
9877919,9.77,12,MOP
9868410,8.65,45,MOP
9881751,4.54,31,PR
9323438,2.95,27,RS
9681204,9.23,66,RS
9211954,6.0,12,MOP
9424253,2.42,70,ADIS
9240062,4.36,6,PR
9968430,8.28,8,MOP
9237748,6.62,94,ADIS
9409586,6.23,66,PR
9338739,8.37,43,PR
9591506,8.24,56,MOP
9433573,1.52,44,RS
9935281,9.11,13,ADIS
9399898,5.52,86,MOP
9347340,9.48,100,RS
9892950,9.33,49,RS
9511096,8.45,77,RS
9620222,4.55,35,RS
9042408,2.78,82,ADIS
9537005,3.0,96,PR
9744600,9.22,4,RS
9353088,9.53,43,RS
9807337,8.96,75,PR
9038308,3.93,81,ADIS
9016088,6.85,78,MOP
9684743,5.57,81,RS
9470107,3.79,24,PR
9370098,5.2,20,ADIS
9654606,7.11,25,PR
9567556,5.01,63,ADIS
9462111,8.01,62,PR
9892391,8.27,83,ADIS
9966851,6.23,31,PR
9423958,2.85,15,MOP
9170468,7.71,74,MOP
9130097,6.18,25,PR
9487152,4.83,5,PR
9137754,6.83,22,MOP
9984115,4.6,100,PR
9855127,9.26,91,ADIS
9890088,3.56,28,RS
9923989,7.67,66,RS
9772299,1.61,90,PR
9440225,6.78,37,RS
9962395,5.8,4,ADIS
9068729,8.81,46,PR
9652679,4.2,34,RS
9684204,2.87,7,RS
9662385,9.05,16,ADIS
9085831,4.25,29,PR
9188118,2.22,39,ADIS
9246877,3.72,26,ADIS
9374618,4.22,41,RS
9603959,6.34,25,MOP
9183686,2.28,64,RS
9482554,2.16,53,PR
9058124,6.44,38,PR
9735001,2.02,7,RS
9066589,2.66,3,MOP
9800192,2.57,79,RS
9484787,2.65,47,MOP
9382013,6.21,88,PR
9258659,3.77,92,RS
9460155,4.05,24,ADIS
9041587,1.76,24,RS
9794123,4.56,61,MOP
9006059,5.05,91,PR
9830260,2.83,66,RS
9594480,2.76,47,RS
9329889,5.64,52,MOP
9744240,9.05,28,RS
9984445,8.69,63,PR
9905367,2.75,29,MOP
9435592,7.27,28,RS
9583832,9.32,84,ADIS
9548130,5.83,91,RS
9721880,5.43,17,MOP
9796440,8.87,22,PR
9806964,2.8,50,ADIS
9665994,9.85,35,MOP
9804610,9.12,84,RS
9328885,1.84,66,ADIS
9121987,7.05,96,PR
9340173,3.21,14,PR
9813305,2.11,90,RS
9640803,9.19,28,ADIS
9779356,9.13,14,PR
9110887,4.36,94,ADIS
9396277,6.86,51,RS
9223950,8.74,88,MOP
9336834,6.41,19,ADIS
9301256,7.65,24,ADIS
9445379,9.27,76,ADIS
9816335,6.77,16,RS
9141497,1.66,38,MOP
9675959,6.57,8,RS
9898213,4.94,45,MOP
9976353,9.54,95,RS
9478149,2.2,72,MOP
9204611,4.92,17,RS
9267095,7.03,45,MOP
9406525,3.87,14,RS
9265453,8.86,75,RS
9389627,7.74,14,PR
9118471,5.95,89,ADIS
9184523,3.12,79,PR
9334819,7.44,43,ADIS
9207428,3.79,45,MOP
9133344,6.76,89,RS
9658509,2.92,62,ADIS
9204770,2.25,93,MOP
9997623,9.06,41,PR
9579005,4.49,61,PR
9560709,6.77,86,ADIS
9155433,4.7,91,PR
9715871,5.79,71,RS
9243318,2.29,32,MOP
9641744,4.41,51,PR
9457827,8.91,14,RS
9159624,3.23,3,ADIS
9007235,7.74,99,PR
9134528,5.95,56,PR
9423364,9.1,61,PR
9457085,9.2,67,MOP
9000962,1.89,52,ADIS
9216236,5.04,70,MOP
9184686,2.77,36,RS
9388755,8.05,70,PR
9499197,2.24,18,PR
9176745,4.96,26,PR
9573407,8.21,39,ADIS
9246432,9.4,9,RS
9798702,6.92,76,PR
9121400,6.67,49,ADIS
9515496,9.49,43,RS
9032612,2.65,85,PR
9875777,8.68,64,PR
9255340,6.15,2,MOP
9285769,5.06,92,RS
9750946,7.37,87,MOP
9595154,9.5,4,PR
9884491,7.03,100,PR
9848501,1.51,2,ADIS
9638901,8.03,47,PR
9302703,9.85,80,RS
9785748,7.41,19,PR
9960465,1.66,30,ADIS
9986222,8.52,56,ADIS
9011632,4.03,24,MOP
9308530,6.53,88,RS
9848411,3.1,98,RS
9235536,8.35,58,ADIS
9365303,7.22,57,ADIS
9027363,7.05,58,PR
9269028,1.65,45,MOP
9524832,2.94,1,ADIS
9479018,7.25,56,MOP
9086915,6.91,57,RS
9465448,9.38,30,MOP
9689081,8.56,99,PR
9897820,3.68,32,PR
9408328,5.62,57,RS
9434212,6.46,98,RS
9873883,4.41,46,PR
9920775,6.3,0,PR
9649852,5.9,19,RS
9882293,2.68,54,MOP
9271086,9.33,30,ADIS
9337820,2.55,69,MOP
9252456,3.79,19,MOP
9758861,3.75,70,RS
9735706,6.06,75,PR
9245257,6.55,9,MOP
9826255,5.83,30,RS
9806728,2.53,7,PR
9408416,7.07,92,ADIS
9551037,5.37,91,RS
9797038,3.77,55,ADIS
9072006,3.41,78,RS
9392098,6.07,71,ADIS
9604007,9.24,16,RS
9698235,7.83,27,ADIS
9831610,3.94,85,MOP
9713260,2.72,93,PR
9242115,4.69,37,RS
9623863,7.94,8,ADIS
9023692,8.68,41,RS
9147542,3.83,11,PR
9519356,8.73,37,PR
9495090,8.79,86,PR
9888517,9.6,83,MOP
9364677,1.95,11,RS
9191976,3.81,40,MOP
9726519,3.73,79,RS
9020105,3.68,57,RS
9461899,2.25,81,RS
9491727,9.07,35,RS
9344752,9.69,14,ADIS
9133844,2.47,32,ADIS
9436436,6.24,8,MOP
9551962,2.76,65,PR
9505883,6.46,62,ADIS
9756667,3.14,48,ADIS
9307217,3.86,19,RS
9557147,3.24,23,PR
9178307,7.22,94,RS
9999669,2.79,80,PR
9189364,8.48,72,RS
9193979,3.22,14,MOP
9041216,8.96,2,PR
9262159,6.91,11,ADIS
9867917,1.84,25,RS
9856025,6.27,55,MOP
9755894,8.67,50,PR
9510542,4.04,87,ADIS
9577300,4.28,42,MOP
9641273,9.41,93,RS
9241049,3.07,1,ADIS
9838206,7.72,69,RS
9120591,3.56,54,MOP
9782793,1.51,43,ADIS
9600558,8.54,8,MOP
9472937,6.41,14,RS
9811446,8.53,57,PR
9285661,6.59,100,ADIS
9158677,4.71,44,RS
9595355,9.44,79,ADIS
9239743,5.28,29,ADIS
9582875,7.38,51,ADIS
9533817,4.88,65,MOP
9332325,8.38,70,ADIS
9671326,4.16,89,MOP
9949684,7.15,70,RS
9655314,4.69,65,ADIS
9360211,9.23,34,PR
9566572,3.54,68,RS
9149165,3.37,64,RS
9496043,4.12,76,PR
9014562,4.13,47,PR
9704992,6.84,21,RS
9136858,5.22,50,PR
9267541,4.9,71,MOP
9766059,7.06,77,PR
9099769,3.43,82,ADIS
9205187,9.72,82,PR
9738783,8.95,26,PR
9763446,7.44,43,MOP
9115721,5.83,79,PR
9943106,4.3,98,RS
9129168,3.48,57,ADIS
9895478,1.65,33,PR
9033403,6.71,38,ADIS
9308645,2.86,88,ADIS
9766998,5.71,36,MOP
9293714,9.1,18,RS
9973117,6.85,82,RS
9775826,5.9,34,PR
9488247,6.19,72,MOP
9723054,2.7,87,RS
9929001,1.99,47,MOP
9228417,9.34,87,ADIS
9054272,6.51,80,PR
9523611,7.09,97,PR
9518636,7.3,46,PR
9488754,2.1,53,ADIS
9432994,8.39,16,ADIS
9602369,7.64,35,MOP
9822477,4.01,57,ADIS
9400969,5.13,85,ADIS
9407730,2.36,3,PR
9771343,5.45,88,ADIS
9775425,2.32,13,PR
9352895,2.19,20,ADIS
9817523,9.2,0,ADIS
9787474,5.59,12,PR
9062051,2.0,5,ADIS
9697494,9.58,100,ADIS
9819785,6.74,100,ADIS
9340941,2.9,12,MOP
9714128,6.38,16,ADIS
9687354,6.72,91,PR
9271487,5.88,90,MOP
9441032,2.13,12,PR
9926685,9.06,32,ADIS
9547596,8.78,36,ADIS
9573201,5.01,28,MOP
9073360,6.22,89,RS
9297517,8.12,99,PR
9535348,9.53,23,RS
9248729,2.99,26,PR
9583952,3.64,28,RS
9817900,7.46,38,MOP
9247964,5.24,68,PR
9229920,3.97,94,ADIS
9769761,6.23,47,RS
9522569,7.36,59,RS
9068071,9.44,97,RS
9413930,6.55,88,MOP
9096029,6.59,54,ADIS
9036174,8.03,81,PR
9675259,2.27,32,RS
9454543,6.95,19,PR
9969730,9.53,12,MOP
9426079,3.81,3,MOP
9167193,4.39,99,ADIS
9899512,1.67,86,MOP
9792664,6.61,11,ADIS
9163070,4.65,41,ADIS
9406686,2.55,9,RS
9561531,7.7,20,PR
9550124,3.64,82,RS
9552434,5.1,1,MOP
9171226,9.18,46,RS
9601632,6.03,6,ADIS
9265496,8.11,78,ADIS
9722480,5.17,5,PR
9625912,8.85,24,MOP
9453267,3.8,37,MOP
9040339,8.18,63,ADIS
9647137,4.74,74,MOP
9331246,9.07,96,MOP
9195372,8.73,49,ADIS
9509861,1.79,49,RS
9604756,5.44,79,MOP
9710277,2.38,72,RS
9660931,9.87,18,MOP
9511032,8.34,54,ADIS
9982123,8.32,68,RS
